DATA,EXCEPTION,time,pitch,roll,yaw,airspeed,displayedAltitude,pressureAltitude,turnRate,verticalSpeed,lateralAcceleration,verticalAcceleration,angleOfAttack,
03033359+018+00053000000+0051+002+01+1099FA4AD901B3,ok,11013921,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.2,0.01,1.0,0.98999995,
03033360+018+00053000000+0051+002+01+1099FA4AD901AB,ok,11013937,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,0.2,0.01,1.0,0.98999995,
03033361+018+00053000000+0051-001+01+1099FA4AD901AD,ok,11013953,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033362+018+00053000000+0051-001+01+1099FA4AD901AE,ok,11013968,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033363+018+00053000000+0051-001+01+1099FA4AD901AF,ok,11013984,1.8000001,0.5,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033300+018+00063000000+0096+000+01+1099FA49FE01B3,ok,11013000,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033301+018+00063000000+0096+000+01+1099FA49FE01B4,ok,11013015,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033302+018+00063000000+0096+000+01+1099FA49FE01B5,ok,11013031,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033303+018+00063000000+0096+000+01+1099FA49FE01B6,ok,11013046,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033304+018+00063000000+0096+000+01+1099FA49FE01B7,ok,11013062,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033305+018+00063000000+0051-001+01+1099FA4AD901AC,ok,11013078,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033406+018+00063000000+0051-001+01+1099FA4AD901AE,ok,11014093,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.1,0.01,1.0,0.98999995,
03033407+018+00063000000+0051-005+01+1099FA4AD901B3,ok,11014109,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.5,0.01,1.0,0.98999995,
03033408+018+00063000000+0051-005+01+1099FA4AD901B4,ok,11014125,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.5,0.01,1.0,0.98999995,
03033409+018+00063000000+0051-005+01+1099FA4AD901B5,ok,11014140,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.5,0.01,1.0,0.98999995,
03033410+018+00063000000+0096-001+01+1099FA49FE01B8,ok,11014156,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033411+018+00063000000+0096-001+01+1099FA49FE01B9,ok,11014171,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033412+018+00063000000+0096-001+01+1099FA49FE01BA,ok,11014187,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033413+018+00063000000+0096-001+01+1099FA49FE01BB,ok,11014203,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033414+018+00063000000+0096-001+01+1099FA49FE01BC,ok,11014218,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033415+018+00063000000+0051-007+01+1099FA4AD901B4,ok,11014234,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.7,0.01,1.0,0.98999995,
03033416+018+00063000000+0051-007+01+1099FA4AD901B5,ok,11014250,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.7,0.01,1.0,0.98999995,
03033417+018+00063000000+0051-008+01+1099FA4AD901B7,ok,11014265,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.8,0.01,1.0,0.98999995,
03033418+018+00063000000+0051-008+01+1099FA4AD901B8,ok,11014281,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.8,0.01,1.0,0.98999995,
03033419+018+00063000000+0051-008+01+1099FA4AD901B9,ok,11014296,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.8,0.01,1.0,0.98999995,
03033420+018+00063000000+0096-001+01+1099FA49FE01B9,ok,11014312,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033421+018+00063000000+0096-001+01+1099FA49FE01BA,ok,11014328,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033422+018+00063000000+0096-001+01+1099FA49FE01BB,ok,11014343,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033423+018+00063000000+0096-001+01+1099FA49FE01BC,ok,11014359,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033424+018+00063000000+0096-001+01+1099FA49FE01BD,ok,11014375,1.8000001,0.6,300.0,0.0,96.0,NaN,-0.1,NaN,0.01,1.0,0.98999995,
03033425+018+00063000000+0051-006+01+1099FA4AD901B4,ok,11014390,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.6,0.01,1.0,0.98999995,
03033426+018+00063000000+0051-006+01+1099FA4AD901B5,ok,11014406,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.6,0.01,1.0,0.98999995,
03033427+018+00063000000+0051-008+01+1099FA4AD901B8,ok,11014421,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.8,0.01,1.0,0.98999995,
03033428+018+00063000000+0051-008+01+1099FA4AD901B9,ok,11014437,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.8,0.01,1.0,0.98999995,
03033429+018+00063000000+0051-008+01+1099FA4AD901BA,ok,11014453,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-0.8,0.01,1.0,0.98999995,
03033430+018+00063000000+0096+000+01+1099FA49FE01B7,ok,11014468,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033431+018+00063000000+0096+000+01+1099FA49FE01B8,ok,11014484,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033432+018+00063000000+0096+000+01+1099FA49FE01B9,ok,11014500,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033433+018+00063000000+0096+000+01+1099FA49FE01BA,ok,11014515,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033434+018+00063000000+0096+000+01+1099FA49FE01BB,ok,11014531,1.8000001,0.6,300.0,0.0,96.0,NaN,0.0,NaN,0.01,1.0,0.98999995,
03033435+018+00063000000+0051-012+01+1099FA4AD901B2,ok,11014546,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.2,0.01,1.0,0.98999995,
03033436+018+00063000000+0051-012+01+1099FA4AD901B3,ok,11014562,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.2,0.01,1.0,0.98999995,
03033437+018+00063000000+0051-016+01+1099FA4AD901B8,ok,11014578,1.8000001,0.6,300.0,0.0,NaN,51.0,NaN,-1.6,0.01,1.0,0.98999995,
